"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","834","Get All Products","chromium","2026-08-14","passed","2026-08-14","","api\AllProducts.spec.ts","",""
"","383","should verify Login details","chromium","2026-08-14","passed","2026-08-14","","api\VerifyLoginDetails.spec.ts","",""
"","2878","Invalid data-Empty User and Password","chromium","2026-08-14","passed","2026-08-14","","Login\InvalidLogin.spec.ts","",""
"","16720","Should not allow registration with existing email","chromium","2026-08-14","passed","2026-08-14","","1.Registration\RegistrationNegative.spec.ts","",""
"","1425","should get all brands","chromium","2026-08-14","passed","2026-08-14","","api\GetAllBrands.spec.ts","",""
"","26515","Invalid data-Invalid Password","chromium","2026-08-14","passed","2026-08-14","","Login\InvalidLogin.spec.ts","",""
"","12525","Should search Products","chromium","2026-08-14","passed","2026-08-14","","ProductSearch.spec.ts\ProductPage.spec.ts","",""
"","13594","should login successfully","chromium","2026-08-14","passed","2026-08-14","","Login\ValidLogin.spec.ts","",""
"","33442","Invalid data-Invalid Email","chromium","2026-08-14","broken","2026-08-14","","Login\InvalidLogin.spec.ts","",""
"","686","Post to create new user","chromium","2026-08-14","passed","2026-08-14","","api\Createnewuser.spec.ts","",""
"","23523","Should Sign Up successfully-Happy FLOW","chromium","2026-08-14","passed","2026-08-14","","1.Registration\RegistrationPositive.spec.ts","",""
